Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_PERC,3P,3PA,3P_PERC,2P,2PA,2P_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_PERC,DRB_PERC,TRB_PERC,AST_PERC,STL_PERC,BLK_PERC,USG_PERC,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,Marquese Chriss,PF,20,PHO,69,46,1443,4.6,11,0.416,1.3,4.6,0.295,3.2,6.5,0.502,2.1,3.5,0.589,1.8,7.3,9.1,2,1.2,1.7,2.5,4.9,12.6,10.7,0.501,0.414,0.319,5.1,22.3,13.5,8.3,1.6,3.8,17.7,-0.9,1.4,0.5,0.018,-3.4,1.3,-2.1,0
2017,Ian Clark,SG,26,NOP,70,2,1365,5.4,12.3,0.439,1.4,4.8,0.297,4,7.5,0.53,1.2,1.5,0.759,0.3,2.9,3.1,2.7,0.7,0.3,1.4,3.1,13.3,8.8,0.516,0.391,0.125,0.8,8.4,4.7,10.2,1,0.6,17.3,0,0.7,0.7,0.023,-2.4,-2.1,-4.5,-0.8
2017,Jordan Clarkson,SG,25,TOT,75,2,1776,8.3,18.3,0.454,2.2,6.2,0.353,6.1,12.1,0.506,2.9,3.6,0.793,1.1,3.2,4.3,4.3,1.1,0.1,2.5,2,21.6,16.7,0.545,0.34,0.199,3.4,9.4,6.4,19.6,1.4,0.2,26.5,1.9,1.1,3,0.082,1,-2.7,-1.7,0.1
2017,Jordan Clarkson,SG,25,LAL,53,2,1256,8.6,19.1,0.448,1.9,6,0.324,6.6,13.1,0.505,3,3.8,0.795,1.3,3.3,4.6,5,1.1,0.1,2.7,1.8,22.1,16.9,0.532,0.315,0.198,3.7,9.7,6.7,22.7,1.5,0.2,27.6,1.1,1,2.1,0.08,0.9,-2.3,-1.4,0.2
2017,Jordan Clarkson,SG,25,CLE,22,0,520,7.6,16.2,0.47,2.8,6.6,0.417,4.8,9.6,0.507,2.6,3.3,0.787,0.8,2.8,3.6,2.8,0.9,0.1,1.8,2.6,20.6,16.1,0.583,0.41,0.201,2.4,8.7,5.6,12.2,1.2,0.3,23.9,0.8,0.1,0.9,0.086,1.1,-3.7,-2.5,-0.1
2017,Gian Clavell,SG,24,DAL,7,0,64,3.4,10.1,0.333,3.4,8.4,0.4,0,1.7,0,1.1,1.1,1,0.6,3.4,3.9,1.7,1.1,0,1.1,4.5,11.3,7.4,0.53,0.833,0.111,1.7,10.7,6.1,6.7,1.6,0,14.8,0,0,0.1,0.043,-1.7,-1.8,-3.5,0
2017,Antonius Cleveland,SG,23,DAL,13,0,81,1.8,6.2,0.286,0,0.4,0,1.8,5.8,0.308,0.9,1.8,0.5,0.9,3.6,4.4,0.9,2.7,1.8,0.9,4.9,4.4,5.1,0.317,0.071,0.286,2.7,11.3,6.9,3.3,3.7,4.4,10,-0.1,0.1,0,-0.004,-7.5,4.5,-3,0
2017,John Collins,PF,20,ATL,68,20,1597,6.4,10.9,0.586,0.2,0.7,0.355,6.2,10.2,0.601,2.8,3.8,0.74,3.8,7.2,11,1.8,0.9,1.7,2.1,4.6,15.9,18.7,0.629,0.064,0.348,11.7,22.6,17.2,8,1.3,4,17.9,3.3,1.8,5,0.151,-0.1,1.7,1.6,1.5
2017,Zach Collins,C,20,POR,60,1,937,4.1,9.9,0.411,1.2,3.7,0.33,2.8,6.2,0.46,1,1.5,0.658,1.6,6.1,7.6,1.8,0.6,1.1,2,4.7,10.3,8.1,0.49,0.376,0.147,4.8,18.2,11.6,7.3,0.8,2.5,15.4,-0.4,1.2,0.8,0.039,-3.8,0.9,-2.9,-0.2
2017,Kyle Collinsworth,SF,26,DAL,27,1,371,2.5,6.6,0.382,0.4,1.3,0.308,2.1,5.3,0.4,1.6,3.1,0.5,2.4,5.6,8.1,3.7,1.5,0.6,1.7,3.4,7,9.5,0.439,0.191,0.471,7.3,17.9,12.4,14.2,2,1.4,12.3,0,0.4,0.4,0.05,-4,2.2,-1.7,0
